T+037.13s OUT EP0 len=272 : 08010018ed0380100057000465030000c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c003dc002892c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c204ab534e415053484f542031000ec205ca42f000000b020c008900c301dc00139318c297000000000000009318c297000000000000009318c297000000
T+037.13s OUT EP0 len=272 : 08010018ed0380100058000465030000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c2970000000000000002dc004093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca00000000
T+037.13s OUT EP0 len=272 : 08010018ed038010005900046503000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c003dc002892c2c292
T+037.13s OUT EP0 len=272 : 08010018ed038010005a000465030000c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c204ab534e415053484f542032000ec205ca42f000000b020c008900c301dc00139318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c2970000000000
T+037.13s OUT EP0 len=272 : 08010018ed038010005b00046503000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c2970000000000000002dc004093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c240c093c240c093c240c093c240c093c240c093c240
T+037.13s OUT EP0 len=272 : 08010018ed038010005c000465030000c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c003dc002892c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2
T+037.13s OUT EP0 len=272 : 08010018ed038010005d000465030000c392c2c392c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c204ab534e415053484f542033000ec205ca42f000000b020c008900c301dc00139318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c29700000000000000
T+037.13s OUT EP0 len=272 : 08010018ed038010005e0004650300009318c297000000000000009318c2970000000000000002dc004093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c2
T+037.14s OUT EP0 len=272 : 08010018ed038010005f00046503000040c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c093c240c003dc002892c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c292c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c392c2c204ab534e415053484f542034000ec205ca42f000000b020c008900c301dc00139318c297000000000000
T+037.14s OUT EP0 len=272 : 08010018ed0380100060000465030000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c297000000000000009318c2970000000000000002dc004093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca0000000093c218ca00
